player,player_id,pos,team,conference,archetype,cluster,pts_per_g,ast_per_g,treb_per_g,blk_per_g,stl_per_g,ts_pct,bpm,usg_pct,readiness_score,n_seasons,height_in,weight_lbs,trend_bpm,trend_pts_per_g,Atlanta Dream_fit,Atlanta Dream_total,Chicago Sky_fit,Chicago Sky_total,Connecticut Sun_fit,Connecticut Sun_total,Dallas Wings_fit,Dallas Wings_total,Indiana Fever_fit,Indiana Fever_total,Las Vegas Aces_fit,Las Vegas Aces_total,Los Angeles Sparks_fit,Los Angeles Sparks_total,Minnesota Lynx_fit,Minnesota Lynx_total,New York Liberty_fit,New York Liberty_total,Phoenix Mercury_fit,Phoenix Mercury_total,Seattle Storm_fit,Seattle Storm_total,Washington Mystics_fit,Washington Mystics_total
Allison Clarke,allison-clarke-1,"pos    G
pos    G
Name: 10597, dtype: object",Loyola Marymount,West Coast Conference,Floor General,2.0,5.005688303231752,0.8000000000000002,0.8000000000000002,0.2,0.8460181877377738,0.4845347005037846,-0.4801480071282841,13.279522108365692,40.12,2,71.0,,5.29999999999995,-0.9999999999999905,-0.3746,-0.8715,-0.3343,-0.8755,-0.032,-1.0383,-0.2548,-0.8152,-0.0096,-0.6141,-0.0493,-0.9399,-0.1394,-0.75,-0.0105,-1.1064,0.0,-0.5856,-0.1724,-1.0881,-0.0579,-0.891,-0.4429,-1.2363
Evelien Lutje Schipholt,evelien-lutje-schipholt-1,"pos    F
pos    F
Name: 6476, dtype: object",South Florida,American Athletic Conference,Post Scorer,4.0,8.569178055314795,0.7230593517715986,7.08476034788431,0.7999999999999999,0.7384703241142007,0.5045388129645679,3.4845319209150936,20.37659800777458,52.51,2,74.0,,-1.8999999999982449,-1.1999999999988913,0.5823,0.7729,0.5359,0.7931,0.0422,0.9264,0.4945,0.774,0.0365,0.4365,0.0355,0.584,0.3144,0.6992,0.0158,1.1072,0.0,0.3285,0.1717,0.8288,0.06,0.6444,0.476,1.0278
Mailyn Wilkerson,mailyn-wilkerson-1,"pos    G
pos    G
Name: 13561, dtype: object",Alabama A&M,Southwest Athletic Conference,3-and-D Wing,0.0,6.15303295590867,1.1843869172026018,1.1528654734699082,0.0667073650194513,0.6528997818049997,0.4373973725765174,-3.745855747286719,20.07140587172377,51.24,4,66.0,,0.6400000000001405,-0.8100000000000079,-0.5148,-0.1581,-0.446,-0.1519,-0.0396,-0.3254,-0.5937,-0.3,-0.1171,-0.1113,-0.064,-0.2257,-0.3239,-0.1472,-0.0115,-0.3308,0.0,0.2348,-0.1985,-0.3436,-0.0864,-0.2207,-0.3522,-0.2826
Katie Vasecka,katie-vasecka-1,"pos    G
pos    G
Name: 6480, dtype: object",South Dakota State,Summit League,Floor General,2.0,8.457908102976056,1.8053567208323928,3.1420918970239446,0.342091897023944,0.7316324119042243,0.5208291401132256,2.241330027388748,21.305356720832393,48.33,2,74.0,,-5.800000000001421,0.1000000000000224,0.3099,0.2565,0.2652,0.25,0.0087,0.1434,-0.0092,0.0118,-0.0061,0.0021,-0.0098,-0.0507,0.1397,0.1848,0.0003,0.0335,0.0,0.0201,-0.0147,-0.0228,0.0454,0.2594,0.0256,0.0577
Gerlyn Smith,gerlyn-smith-1,"pos    F
pos    F
Name: 6481, dtype: object",Prairie View A&M,Southwest Athletic Conference,Interior Big,3.0,6.757435218584468,1.3068138020441875,6.014640628724916,0.5823074750555285,0.6076496405511375,0.4198110570706617,-5.355951019836666,19.062513164077103,56.93,3,73.0,,0.0999999999998697,-0.9500000000003608,-0.098,0.5798,-0.0655,0.5978,0.017,0.8946,0.0864,0.7324,-0.0825,0.4106,0.0043,0.6851,-0.1505,0.4772,0.0067,0.9832,0.0,0.6546,0.0959,0.934,-0.0007,0.6511,0.3187,1.1228
Rylee Sagester,rylee-sagester-1,"pos    G
pos    G
Name: 6485, dtype: object",Wright State,Horizon League,3-and-D Wing,0.0,6.663842893727132,0.821876010243597,1.2236611472472558,0.0,0.4491074314981706,0.5586205775672347,-3.7035702740073178,15.590619948782017,43.47,2,67.0,,0.8000000000001958,2.50000000000061,0.0363,-0.3107,0.0047,-0.3344,-0.0171,-0.58,-0.8137,-1.0715,-0.2141,-0.9713,-0.0985,-1.0465,-0.3157,-0.7107,-0.0118,-0.92,0.0,-0.3385,-0.2544,-1.0799,0.0238,-0.213,-0.371,-0.8835
Michelle Ugwah,michelle-ugwah-1,"pos    F
pos    F
Name: 13318, dtype: object",San Francisco,West Coast Conference,Interior Big,3.0,6.073155212816892,0.5301362559972755,4.319182464016348,0.6619182464016347,0.9698637440027243,0.4712712796161743,-4.1509644544207065,19.04273578238529,49.87,2,73.0,,3.799999999999964,-3.0999999999999703,0.2119,0.2954,0.1716,0.2824,0.0138,0.3297,0.2739,0.3804,0.0365,0.2415,0.0067,0.1817,0.1474,0.3075,0.0066,0.4577,0.0,0.1337,0.0446,0.2636,0.0117,0.1953,0.0994,0.2797
Jamisyn Heaton,jamisyn-heaton-2,"pos    G
pos    G
Name: 6489, dtype: object",Utah State,Mountain West Conference,Interior Big,3.0,8.60089316470591,1.3812504305882731,4.741964962353,0.5401786329411818,1.3794641011764543,0.4884196496235299,-1.481250430588273,21.178570936470543,45.09,2,70.0,,0.7000000000001717,-0.5000000000001229,0.232,-0.0419,0.215,-0.0326,0.0142,-0.0185,0.3475,0.0941,0.1238,0.1471,0.0505,0.1443,0.2338,0.0567,0.0055,0.0527,0.0,-0.219,0.1153,0.1171,0.0219,-0.1038,0.1653,0.0239
Frances Ulysse,frances-ulysse-1,"pos    F
pos    F
Name: 6495, dtype: object",Longwood,Big South Conference,Interior Big,3.0,8.777375824230786,0.993017530746115,5.468559568448983,0.5955227414277899,0.8984614933550582,0.5253315269920549,-4.265327106723817,20.08067039318601,49.58,3,73.0,,3.750000000000537,2.8000000000004373,0.5999,0.5701,0.5311,0.5727,0.0316,0.5595,0.0586,0.165,-0.0235,0.0429,0.0085,0.1738,0.1303,0.2659,0.0127,0.7391,0.0,0.1123,0.0582,0.2818,0.0549,0.4019,0.2468,0.4749
Annukka Willstedt,annukka-willstedt-1,"pos    G
pos    G
Name: 6663, dtype: object",Texas A&M-Corpus Christi,Southland Conference,3-and-D Wing,0.0,5.607218485047018,1.8381447591364992,3.3879341811198196,0.086615360602795,1.0848190395761363,0.4176832414752191,-3.167864065416249,17.614546966362045,44.11,4,69.0,,-0.839999999999701,-0.6499999999997267,-0.348,-0.5569,-0.2976,-0.5493,-0.0175,-0.5388,-0.1346,-0.4126,0.0332,-0.193,0.0218,-0.1346,-0.1747,-0.4972,-0.002,-0.39,0.0,-0.2913,0.0048,-0.2774,-0.0576,-0.5948,-0.1084,-0.4505
Brea Beal,brea-beal-1,"pos    G
pos    G
Name: 6498, dtype: object",South Carolina,Southeastern Conference,Floor General,2.0,5.923849828496622,2.187222892227132,4.556388553886434,0.8802383823830565,0.7,0.4914309897097973,13.061668676681393,12.946507745077962,57.63,2,73.0,,4.2000000000011815,1.3000000000003662,0.2783,0.9186,0.2558,0.928,0.0209,1.0019,0.8664,1.4867,0.1934,1.2779,0.0387,0.9845,0.4913,1.2855,0.0079,1.094,0.0,0.7062,0.1597,1.1717,0.0387,0.91,0.1269,0.8926
XaiOnna Whitfield,xaionna-whitfield-1,"pos    G
pos    G
Name: 6501, dtype: object",Tennessee State,Ohio Valley Conference,Floor General,2.0,8.133986155895611,1.962821900693601,2.5256438013872025,0.2971164255202009,0.9314109503468004,0.4625643801387202,-3.260246695144791,21.977239773092595,49.2,2,68.0,,2.800000000000686,3.4000000000008317,-0.0782,0.0246,-0.0709,0.0228,-0.0133,-0.1033,-0.2402,-0.1321,-0.0157,0.0379,-0.0064,0.0386,-0.0618,0.0114,-0.0031,-0.0713,0.0,0.0843,-0.0474,-0.054,-0.0208,-0.0255,-0.0984,-0.0602
Angel Jackson,angel-jackson-1,"pos    C
pos    C
Name: 6503, dtype: object",Jackson State,Southwest Athletic Conference,Post Scorer,4.0,9.726681346216974,0.8316703365542433,6.902494495168635,2.763340673108486,0.7291758413856082,0.5262342875041033,6.299241899361987,20.432428437192257,58.76,2,78.0,,4.099999999996212,0.7999999999992622,0.9949,1.5489,0.9376,1.6025,0.0721,1.8105,1.9106,2.5107,0.29,1.6469,0.0392,1.0715,1.1618,2.1594,0.0302,2.2797,0.0,0.7896,0.3131,1.702,0.0832,1.2279,0.6169,1.6959
Makinna Serrata,makinna-serrata-1,"pos    G
pos    G
Name: 6914, dtype: object",Texas A&M-Corpus Christi,Southland Conference,3-and-D Wing,0.0,13.153579674933525,1.864115253574594,4.358847464254059,0.5282305071491881,1.1153084785524356,0.5638707797140324,4.88946442135893,27.489464421358928,56.53,2,72.0,,-2.1999999999991284,-2.0999999999991648,0.9354,1.3389,0.8375,1.3511,0.0398,1.188,0.3743,0.9622,0.1238,0.991,0.0546,1.0173,0.5421,1.2642,0.0118,1.2092,0.0,0.6251,0.1263,0.9932,0.1063,1.1853,0.3554,1.1472
Amijah Price,amijah-price-1,"pos    G
pos    G
Name: 6507, dtype: object",Louisiana,Sun Belt Conference,Interior Big,3.0,11.3,1.5,5.2,0.1,1.6,0.402,-5.0,31.600000000000005,50.73,1,68.0,,0.0,0.0,-0.2738,-0.0118,-0.1827,0.0388,-0.0074,0.0924,0.093,0.281,0.0914,0.4675,0.0684,0.6891,0.023,0.2243,0.0011,0.2494,0.0,0.1971,0.1233,0.5565,-0.0625,-0.1323,0.284,0.6144
Ashlyn Rean,ashlyn-rean-1,"pos    F
pos    F
Name: 6509, dtype: object",Fresno State,Mountain West Conference,Interior Big,3.0,12.7,0.5,7.0,0.5,1.3,0.546,5.5,27.4,53.4,1,74.0,,0.0,0.0,1.0789,1.2175,0.9468,1.215,0.0636,1.2946,0.7239,1.0462,0.1371,0.7995,0.0759,0.9398,0.6272,1.1337,0.0161,1.1883,0.0,0.3941,0.2367,1.084,0.1456,1.1616,0.6671,1.3742
Kailey Kalet,kailey-kalet-1,"pos    G
pos    G
Name: 9524, dtype: object",Loyola (MD),Patriot League,Floor General,2.0,2.513419075614526,1.4422793837430172,1.456709537807263,0.0427849229678771,0.5427849229678772,0.3662582707277934,-8.94278492296788,12.04177384451816,47.33,2,68.0,,0.099999999999998,-1.199999999999988,-0.9996,-0.8165,-0.8837,-0.8199,-0.0526,-0.7987,-0.6235,-0.6153,-0.1354,-0.454,-0.0625,-0.5029,-0.6083,-0.7709,-0.0119,-0.6427,0.0,-0.0537,-0.1851,-0.5931,-0.1437,-0.8109,-0.4656,-0.7378
Kennedy Lee,kennedy-lee-1,"pos    F
pos    F
Name: 7362, dtype: object",San Diego State,Mountain West Conference,Stretch Big,5.0,8.747497046009462,0.77159103325087,5.381115376785864,0.2642071518175078,0.776343021464098,0.5498945356785045,2.294203595350816,20.61480568448313,52.48,4,71.0,,3.2300000000000706,1.7799999999996683,0.5575,0.7517,0.4876,0.749,0.0352,0.824,0.0985,0.415,-0.0351,0.2224,0.0111,0.4063,0.1394,0.4906,0.0052,0.5849,0.0,0.3263,0.0735,0.5405,0.1022,0.8647,0.3139,0.7874
Nadia Dumas,nadia-dumas-1,"pos    F
pos    F
Name: 6518, dtype: object",Cleveland State,Horizon League,Interior Big,3.0,11.0,0.7,6.1,1.1,0.8,0.539,0.2,22.6,54.58,1,72.0,,0.0,0.0,0.8792,1.1521,0.7945,1.17,0.0523,1.2217,0.6471,1.0641,0.0635,0.6688,0.0221,0.6404,0.5136,1.0868,0.019,1.4202,0.0,0.4812,0.1534,0.9281,0.0878,0.9439,0.4744,1.1781
Sarah Taub,sarah-taub-1,"pos    G
pos    G
Name: 6519, dtype: object",North Florida,Atlantic Sun Conference,Interior Big,3.0,5.998803944792318,2.0655526571724008,3.9977201095945976,0.2887401643158993,1.3887401643158994,0.4672470618927765,-4.090883287984703,17.163144548849335,46.26,3,69.0,,-0.1500000000000924,1.4500000000001267,-0.0963,-0.2061,-0.0912,-0.2117,-0.0003,-0.1368,0.1566,0.0084,0.1099,0.1924,0.0549,0.2624,0.003,-0.1291,-0.0001,-0.1397,0.0,-0.1326,0.0924,0.1366,0.0027,-0.1183,-0.0004,-0.1333
Jaidyn Harper,jaidyn-harper-1,"pos    G
pos    G
Name: 6520, dtype: object",East Tennessee State,Southern Conference,Floor General,2.0,6.154125712507654,0.6713125274041404,3.298781537743475,0.1713125274041405,0.4143437362979297,0.465516887879946,-0.8565626370207025,15.798375383657964,45.17,2,70.0,,-1.0000000000002451,5.200000000001275,-0.1355,-0.3164,-0.1282,-0.3242,-0.0036,-0.2635,-0.2249,-0.4156,-0.1205,-0.5693,-0.0505,-0.5764,-0.1883,-0.4351,-0.0041,-0.418,0.0,-0.2131,-0.0848,-0.4603,0.0001,-0.2125,-0.0578,-0.298
Sydney Palma,sydney-palma-1,"pos    G
pos    G
Name: 18684, dtype: object",Grand Canyon,Western Athletic Conference,Floor General,2.0,5.398083552324288,1.9460827506153129,2.54570091289223,0.2704750760743525,0.8296570425402059,0.4734804304680329,-0.2447798591957141,14.559820782357756,52.56,3,68.0,,3.1500000000006643,-2.1000000000007306,-0.2294,0.1571,-0.2011,0.1578,-0.0117,0.1662,-0.0193,0.3148,0.0297,0.4201,0.0002,0.3333,-0.0742,0.2447,-0.0041,0.1274,0.0,0.3322,-0.0267,0.2542,-0.0179,0.2376,-0.1745,0.0758
Ta'Ziah Jenks,taziah-jenks-1,"pos    F
pos    F
Name: 6524, dtype: object",Florida Atlantic,American Athletic Conference,Post Scorer,4.0,6.5343208428507165,0.9349800616099482,4.411997239410929,0.3039850249467782,1.0826136221760507,0.3979582666616016,-0.4511238750058591,21.111678253623193,43.15,4,72.0,,-0.0399999999998002,0.3200000000000911,-0.3711,-0.6453,-0.2978,-0.6202,-0.013,-0.5454,0.1404,-0.2357,0.0528,-0.2059,0.0264,-0.1722,-0.0285,-0.3958,-0.0,-0.3626,0.0,-0.3621,0.056,-0.1988,-0.0717,-0.7401,0.0728,-0.2552
Hannah Sjerven,hannah-sjerven-1,"pos    C
pos    C
Name: 6527, dtype: object",South Dakota,Summit League,Post Scorer,4.0,15.1,1.0,7.7,1.8,1.5,0.57,13.3,31.1,58.52,1,74.0,,0.0,0.0,1.6466,2.0284,1.509,2.0801,0.0986,2.1671,1.9463,2.5251,0.4168,2.0042,0.1443,1.8092,1.4486,2.4799,0.0342,2.4629,0.0,0.7719,0.4603,2.1132,0.1735,1.6864,0.9987,2.2392
Meaali'i Amosa,meaalii-amosa-1,"pos    F
pos    F
Name: 6530, dtype: object",Pepperdine,West Coast Conference,Interior Big,3.0,5.275020248669583,0.7350040497339166,5.745028348137416,0.2750202486695828,0.5350040497339166,0.5738463957368143,-0.8901376909531631,12.070170088824495,43.37,2,73.0,,3.400000000000955,-0.5000000000001403,0.6549,0.1539,0.5215,0.1062,0.0399,0.2183,-0.0794,-0.4174,-0.1098,-0.6704,-0.0119,-0.4314,-0.0252,-0.3756,0.0055,-0.0737,0.0,-0.3459,0.0383,-0.2342,0.1357,0.3692,0.1884,-0.0691
Saray White,saray-white-1,"pos    G
pos    G
Name: 6531, dtype: object",Cal State Northridge,Big West Conference,Interior Big,3.0,10.1,1.8,4.0,1.0,1.7000000000000002,0.517,0.9,22.6,42.36,1,71.0,,0.0,0.0,0.4435,-0.0819,0.4121,-0.0631,0.0189,-0.1532,0.8091,0.3085,0.2773,0.3993,0.0741,0.1126,0.6091,0.2977,0.0081,-0.0206,0.0,-0.4204,0.1651,0.0609,0.0351,-0.2354,0.1385,-0.2169
Milan Brown,milan-brown-2,"pos    G
pos    G
Name: 6532, dtype: object",Wake Forest,Atlantic Coast Conference,Interior Big,3.0,9.0,2.6,6.3,0.2,1.0,0.4679999999999999,1.1,25.8,52.75,1,68.0,,0.0,0.0,0.3381,0.6042,0.3091,0.6141,0.0252,0.7029,0.1759,0.5046,0.0605,0.5252,0.0785,0.9104,0.139,0.5101,0.0081,0.7445,0.0,0.3462,0.1935,0.9101,0.055,0.6358,0.4081,0.9457
Chantelle Stuart,chantelle-stuart-1,"pos    G
pos    G
Name: 6534, dtype: object",Furman,Southern Conference,Interior Big,3.0,6.213337217428864,4.079356342230528,2.9741954277881604,0.164946361852544,1.5,0.4220730644034061,-4.593766322608513,20.46688898744755,37.65,2,69.0,,-2.3000000000005634,3.1000000000007595,-0.3786,-1.0568,-0.3232,-1.0481,-0.0182,-1.0261,0.0969,-0.6806,0.1848,-0.2215,0.0933,-0.0973,-0.0401,-0.8152,-0.0031,-0.9185,0.0,-0.7679,0.1218,-0.4129,-0.0367,-0.9614,-0.0995,-0.914
Jaz Spencer,jaz-spencer-1,"pos    G
pos    G
Name: 6535, dtype: object",North Florida,Atlantic Sun Conference,3-and-D Wing,0.0,9.936841046259111,1.3357715786233446,1.8644957882855973,0.0785905262077815,1.2430863144933786,0.4502872420966226,-3.571810524155631,27.2,48.37,2,66.0,,-1.9999999999993217,5.899999999997999,-0.2575,-0.1735,-0.2071,-0.1565,-0.0278,-0.3708,-0.3444,-0.2872,-0.0021,0.0168,-0.0079,-0.0335,-0.0702,-0.0598,-0.0083,-0.3857,0.0,0.023,-0.089,-0.2364,-0.0587,-0.2864,-0.1385,-0.1805
Me'Arah O'Neal,mearah-oneal-1,"pos    F
pos    F
Name: 6537, dtype: object",Florida,Southeastern Conference,Post Scorer,4.0,11.325418837763886,0.9449149207566286,5.753812169819285,1.1932198943421717,1.1415248679277143,0.6074109619248437,11.4097414830434,21.2144044452964,54.47,2,76.0,,7.700000000001885,8.800000000002154,1.1841,1.3767,1.0569,1.3894,0.0631,1.3663,1.0537,1.4223,0.2131,1.103,0.0609,0.9111,0.8788,1.5092,0.0165,1.2879,0.0,0.4731,0.2262,1.1323,0.1566,1.2981,0.4927,1.1969
Katie Ferrell,katie-ferrell-1,"pos    G-F
pos    G-F
Name: 7212, dtype: object",Texas Tech,Big 12 Conference,Floor General,2.0,4.998037460731069,3.4941123821932076,5.056467429315925,0.7396074921462139,1.560392507853786,0.5215958959160312,6.683140062830289,13.58510260209922,29.67,2,73.0,,0.7999999999996824,-0.4999999999998015,0.3083,-1.1214,0.2628,-1.1288,0.0302,-0.9288,1.0447,-0.4155,0.3442,-0.3389,0.1355,-0.3823,0.5175,-0.7465,0.0052,-1.0999,0.0,-1.3566,0.3158,-0.4363,0.1023,-0.8175,0.1886,-1.0796
Kiana Adderton,kiana-adderton-1,"pos    F
pos    F
Name: 6541, dtype: object",North Carolina A&T,Big South Conference,Stretch Big,5.0,6.7,1.3,5.6,0.4,1.1,0.472,-0.8,16.2,47.22,1,73.0,,0.0,0.0,0.1132,0.0246,0.1108,0.0342,0.0233,0.2678,0.2706,0.1819,0.0344,0.0399,0.0423,0.2425,0.0222,-0.0356,0.0059,0.2275,0.0,-0.0618,0.1422,0.3525,0.0388,0.1425,0.2815,0.3517
Angel Wilkinson,angel-wilkinson-1,"pos    G
pos    G
Name: 6542, dtype: object",Jackson State,Southwest Athletic Conference,3-and-D Wing,0.0,7.500000000000001,1.3,3.3,0.0999999999999999,1.5,0.42,-3.6,20.1,43.42,1,68.0,,0.0,0.0,-0.414,-0.6581,-0.3392,-0.6363,-0.0233,-0.6715,-0.0305,-0.3697,0.0956,-0.0595,0.0378,-0.0701,-0.0795,-0.4359,-0.0042,-0.5495,0.0,-0.3422,0.0165,-0.2941,-0.076,-0.7428,-0.0989,-0.4874
Jaleesa Molina,jaleesa-molina-1,"pos    F
pos    F
Name: 6543, dtype: object",Temple,American Athletic Conference,Interior Big,3.0,6.749177553313889,0.8037407119633192,6.114414550062537,0.4614962847853276,1.4037407119633192,0.5584279272496874,2.088777864110043,17.29625928803668,40.69,2,74.0,,-1.4999999999994915,3.8999999999986774,0.7678,0.0423,0.6442,0.0149,0.0469,0.1202,0.6899,0.0778,0.1892,0.0158,0.0846,0.0644,0.4543,-0.008,0.011,0.002,0.0,-0.5436,0.2097,0.0676,0.1255,0.1176,0.3146,-0.0814
Eboni Williams,eboni-williams-1,"pos    F
pos    F
Name: 6544, dtype: object",Tennessee State,Ohio Valley Conference,Interior Big,3.0,8.0,0.8,4.9,0.2,1.4,0.444,-4.8,21.0,47.51,1,72.0,,0.0,0.0,0.0525,-0.0003,0.0565,0.0085,0.005,0.0308,0.0537,0.008,0.0562,0.1256,0.0394,0.2432,0.0077,-0.0314,0.0056,0.2371,0.0,-0.0404,0.0684,0.1589,-0.0229,-0.161,0.1389,0.1636
Maria Roters,maria-roters-1,"pos    G
pos    G
Name: 8448, dtype: object",UAB,Conference USA,Interior Big,3.0,8.01147433923339,1.9885256607666095,5.622131415191652,0.5,1.0185790565388986,0.5901119103368114,2.804369621927883,18.46284188692221,52.81,2,72.0,,2.1999999999991284,1.1999999999995257,0.9542,1.0788,0.8106,1.0534,0.0511,1.0743,0.3829,0.6955,0.097,0.6375,0.0649,0.8171,0.3761,0.794,0.0117,0.9289,0.0,0.3506,0.1772,0.8669,0.1571,1.1785,0.3285,0.8332
Nikki Oppenheimer,nikki-oppenheimer-1,"pos    G
pos    G
Name: 6547, dtype: object",St. Bonaventure,Atlantic 10 Conference,3-and-D Wing,0.0,6.559381153129296,0.8513401647327568,1.3504467215775855,0.0752233607887927,0.2247766392112072,0.4343281762760774,-4.777010247099135,19.15759426681895,51.84,2,69.0,,-0.9000000000002535,4.200000000001179,-0.5947,-0.1748,-0.5176,-0.1697,-0.0423,-0.3191,-0.8224,-0.4618,-0.2434,-0.4407,-0.108,-0.4978,-0.4759,-0.2821,-0.0133,-0.3793,0.0,0.279,-0.2577,-0.472,-0.0911,-0.2011,-0.3452,-0.2282
Tayelin Grays,tayelin-grays-1,"pos    G
pos    G
Name: 6550, dtype: object",New Mexico State,Western Athletic Conference,3-and-D Wing,0.0,7.310719709453665,1.171218806438451,4.628781193561548,0.2424376128769018,1.128781193561549,0.4771071970945366,0.9365641931535278,18.456094032192254,56.35,2,68.0,,3.000000000000843,1.7000000000004791,0.2012,0.7653,0.1752,0.7637,0.0165,0.8449,0.2335,0.8221,0.0707,0.8208,0.0417,0.9119,0.1173,0.75,0.005,0.8596,0.0,0.6118,0.0993,0.9013,0.0297,0.7682,0.1806,0.8771
Reina Green,reina-green-1,"pos    G
pos    G
Name: 6552, dtype: object",Duquesne,Atlantic 10 Conference,Interior Big,3.0,6.489056388397783,1.302121719003439,4.408486876013756,0.1752652148754298,0.9257956446262896,0.460275823470447,-2.518369628114254,18.512730314020637,46.94,2,68.0,,2.5000000000006133,5.3000000000012975,-0.2113,-0.2437,-0.1732,-0.2327,-0.0016,-0.1048,0.0309,-0.0547,0.0108,-0.0506,0.0193,0.0559,-0.0988,-0.199,-0.0017,-0.1676,0.0,-0.0825,0.043,0.0427,-0.0105,-0.1378,0.0566,0.0006
Toni Warren,toni-warren-1,"pos    F
pos    F
Name: 6557, dtype: object",Wofford,Southern Conference,Interior Big,3.0,6.902845854254687,0.52917204112537,3.915329730878577,0.4583440822507399,0.42917204112537,0.4449592469913129,-3.983182848489641,20.533247341994077,46.03,2,71.0,,8.400000000002057,3.8000000000009297,-0.0613,-0.1964,-0.0454,-0.189,0.001,-0.135,-0.1699,-0.3027,-0.13,-0.534,-0.0522,-0.5246,-0.1406,-0.3154,0.0024,-0.0298,0.0,-0.1496,-0.067,-0.345,-0.0268,-0.291,0.0613,-0.0596
Simone Cunningham,simone-cunningham-1,"pos    G
pos    G
Name: 7509, dtype: object",Old Dominion,Sun Belt Conference,Interior Big,3.0,8.259516156926873,0.7518716137943826,6.738343760141429,0.7989899198025892,0.7842938979972645,0.5074250400346795,1.136026506545729,18.778174016515408,46.61,3,70.0,,0.5500000000001899,0.6000000000002498,0.6361,0.3786,0.5663,0.3842,0.0398,0.4565,0.3745,0.2305,0.019,-0.0507,0.0244,0.0686,0.2749,0.2173,0.0155,0.661,0.0,-0.1068,0.1341,0.2839,0.0618,0.2186,0.3859,0.4601
Lesila Finau,lesila-finau-1,"pos    G
pos    G
Name: 6562, dtype: object",California Baptist,Western Athletic Conference,Floor General,2.0,9.2,2.7,5.4,0.2,1.5,0.5,2.0,20.9,56.67,1,70.0,,0.0,0.0,0.1615,0.7586,0.1559,0.7706,0.0197,0.9144,0.4422,1.0337,0.1726,1.1456,0.0944,1.3143,0.2253,0.9011,0.0011,0.6889,0.0,0.6354,0.2084,1.2427,0.0678,0.9929,0.2655,1.0254
Ariana Dyson,ariana-dyson-1,"pos    F
pos    F
Name: 6565, dtype: object",Georgia State,Sun Belt Conference,Interior Big,3.0,6.9905826467343966,0.3881461875510036,5.314290271632389,0.2,1.1565360210203464,0.5380668431204098,-2.6525847502040145,15.04619702020429,53.71,2,73.0,,-0.6000000000000525,2.6500000000002317,0.5299,0.8214,0.4268,0.7871,0.0255,0.7775,-0.0774,0.3473,-0.0264,0.3391,0.0128,0.5089,0.0283,0.4504,0.0057,0.7,0.0,0.417,0.0343,0.5168,0.0754,0.8143,0.1392,0.6216
Sydney Hendrix,sydney-hendrix-1,"pos    F
pos    F
Name: 6566, dtype: object",Florida A&M,Southwest Athletic Conference,Interior Big,3.0,9.521353213109228,0.7850100695716321,6.252565452215609,0.2712525173929079,0.8850100695716321,0.4800882803918015,-4.9449697912851045,24.0176560783603,47.42,2,71.0,,1.1999999999995932,4.0999999999986105,0.3732,0.2377,0.3406,0.2483,0.0287,0.3596,-0.0603,-0.1014,-0.0721,-0.2603,0.0184,0.0854,-0.0222,-0.0732,0.0097,0.434,0.0,-0.0471,0.0871,0.2067,0.0415,0.1718,0.3965,0.5354
Hannah Hank,hannah-hank-1,"pos    F
pos    F
Name: 6570, dtype: object",Clemson,Atlantic Coast Conference,Stretch Big,5.0,5.175243892771778,1.3376219463858894,5.515439006989202,0.7700975571087115,1.2299024428912886,0.479530609533751,5.015439006989202,13.542768282048955,47.07,2,74.0,,1.8000000000005063,1.000000000000281,0.1295,0.0259,0.1247,0.0352,0.0239,0.2656,0.8576,0.6996,0.2043,0.5311,0.0699,0.4301,0.357,0.348,0.0063,0.2377,0.0,-0.0729,0.21,0.5392,0.0425,0.1513,0.2093,0.2347
Alancia Ramsey,alancia-ramsey-1,"pos    F
pos    F
Name: 15792, dtype: object",Alabama,Southeastern Conference,Interior Big,3.0,9.043972109222937,0.9370500984652236,5.736848840338508,0.282370056607441,0.7845236763004041,0.5874092454496107,3.088824406624722,20.64408213274529,48.86,3,72.0,,4.000000000000165,-3.199999999999513,1.013,0.8322,0.8605,0.8052,0.0491,0.7537,0.0938,0.1437,-0.013,0.0206,0.0273,0.2552,0.2813,0.3909,0.0115,0.6282,0.0,0.0592,0.0959,0.3386,0.1448,0.8221,0.3561,0.5823
Frances Morris,frances-morris-1,"pos    G
pos    G
Name: 6572, dtype: object",Samford,Southern Conference,3-and-D Wing,0.0,8.4,1.9,4.0,0.3,0.9,0.558,-0.4000000000000001,19.6,52.53,1,69.0,,0.0,0.0,0.4117,0.6441,0.3561,0.6386,0.0167,0.5665,-0.0866,0.252,-0.0027,0.3219,0.0157,0.4426,0.083,0.4278,0.0003,0.347,0.0,0.33,0.0266,0.4075,0.0827,0.7659,0.0646,0.4249
Gianna Aiello,gianna-aiello-1,"pos    C
pos    C
Name: 6573, dtype: object",Brown,Ivy League,Post Scorer,4.0,7.02301120050728,1.2078273654143696,6.603107320643172,0.97560064514368,0.7233180224018784,0.564275681159491,-0.0122644741524117,19.56338668956094,52.79,4,75.0,,2.1299999999998205,1.9499999999997717,0.929,1.0581,0.7941,1.0376,0.0635,1.2479,0.765,1.0383,0.0851,0.6008,0.0558,0.7502,0.4868,0.923,0.0157,1.1241,0.0,0.3491,0.233,1.028,0.1615,1.2002,0.4982,1.081
