player,player_id,pos,team,conference,archetype,cluster,pts_per_g,ast_per_g,treb_per_g,blk_per_g,stl_per_g,ts_pct,bpm,usg_pct,readiness_score,n_seasons,height_in,weight_lbs,trend_bpm,trend_pts_per_g,Atlanta Dream_fit,Atlanta Dream_total,Chicago Sky_fit,Chicago Sky_total,Connecticut Sun_fit,Connecticut Sun_total,Dallas Wings_fit,Dallas Wings_total,Indiana Fever_fit,Indiana Fever_total,Las Vegas Aces_fit,Las Vegas Aces_total,Los Angeles Sparks_fit,Los Angeles Sparks_total,Minnesota Lynx_fit,Minnesota Lynx_total,New York Liberty_fit,New York Liberty_total,Phoenix Mercury_fit,Phoenix Mercury_total,Seattle Storm_fit,Seattle Storm_total,Washington Mystics_fit,Washington Mystics_total
Jackie Piddock,jackie-piddock-1,"pos    G
pos    G
Name: 1541, dtype: object",Marist,Metro Atlantic Athletic Conference,Floor General,2.0,6.26559901218477,3.003782298807947,2.560362031393997,0.0265585961624657,1.0285788981247137,0.4832414392600496,-5.85593905968664,15.386949340980632,52.52,4,68.0,,1.279999999999837,1.1099999999999386,-0.3436,0.067,-0.3051,0.0647,-0.0208,0.0352,-0.3527,0.0115,-0.0103,0.2988,0.0058,0.3707,-0.2711,0.0096,-0.0087,-0.0994,0.0,0.3292,-0.0378,0.2189,-0.0149,0.2509,-0.2476,-0.0346
Madison Stanley,madison-stanley-1,"pos    F
pos    F
Name: 1546, dtype: object",FDU,Northeast Conference,Post Scorer,4.0,12.4,1.8,6.8,1.6,0.6,0.538,2.2,21.6,53.53,1,73.0,,0.0,0.0,0.9522,1.1303,0.8707,1.1586,0.0637,1.3053,0.8943,1.2093,0.0873,0.6618,0.0248,0.5821,0.627,1.143,0.0205,1.4161,0.0,0.4037,0.2167,1.0353,0.1227,1.0506,0.5772,1.2518
Delanie Crawford,delanie-crawford-1,"pos    G
pos    G
Name: 1729, dtype: object",Tulsa,American Athletic Conference,3-and-D Wing,0.0,15.8319291513539,2.594779929348178,5.360153135058249,0.2439662667767307,1.266402302091148,0.5323230038306687,4.826005754687319,26.36162062820891,42.65,4,71.0,,1.1299999999998618,3.5800000000000347,0.5958,0.0557,0.5591,0.0857,0.0234,-0.0677,0.1564,-0.2581,0.0862,-0.1441,0.0558,0.0019,0.366,0.0326,0.005,-0.1513,0.0,-0.399,0.1293,-0.0221,0.0733,-0.0125,0.3548,0.1223
La'Nya Foster,lanya-foster-1,"pos    G
pos    G
Name: 7703, dtype: object",Georgia Tech,Atlantic Coast Conference,3-and-D Wing,0.0,9.467890806749082,1.6892168339276383,5.040141815609128,0.6472797915970933,1.0665605203341406,0.456215565653908,0.898071902605609,23.19447168240885,50.52,3,69.0,,1.4000000000000197,-0.4499999999995835,0.2161,0.3466,0.214,0.3672,0.0177,0.4319,0.4426,0.5804,0.1009,0.4799,0.0395,0.4654,0.273,0.5035,0.0078,0.5678,0.0,0.1817,0.1315,0.5649,0.0142,0.2567,0.267,0.5739
Elise Williams,elise-williams-1,"pos    G
pos    G
Name: 1851, dtype: object",Wake Forest,Atlantic Coast Conference,Floor General,2.0,11.524837044915214,3.3997613412790533,4.262634097134217,0.2904156963391511,1.9390353589799167,0.482220234315266,5.555587008034219,23.89444901904938,51.25,4,69.0,,0.8700000000000895,0.839999999999965,0.1349,0.3385,0.1452,0.3614,0.0055,0.3139,0.6367,0.8091,0.3098,1.1515,0.1214,1.1086,0.4595,0.7773,0.0007,0.268,0.0,0.2355,0.231,0.9087,0.0271,0.3782,0.1802,0.5003
Lauren Bailey,lauren-bailey-1,"pos    G
pos    G
Name: 6559, dtype: object",Furman,Southern Conference,3-and-D Wing,0.0,7.840811126776871,0.7189182113135588,3.4918846636585856,0.1434368097386724,0.8680511300034607,0.4922947162932364,-4.686854765198867,16.433568456498584,35.63,3,68.0,,2.200000000000013,-0.9499999999997758,-0.1565,-1.0363,-0.1383,-1.0368,-0.0109,-1.0705,-0.3456,-1.2282,-0.0975,-1.2051,-0.0382,-1.1913,-0.2058,-1.1595,-0.0077,-1.2952,0.0,-0.9169,-0.0904,-1.1803,-0.0026,-0.9307,-0.12,-1.0932
Jade Compton,jade-compton-1,"pos    F
pos    F
Name: 1551, dtype: object",Presbyterian,Big South Conference,Stretch Big,5.0,16.2,1.1,6.9,0.5,0.6,0.571,1.8,26.0,42.77,1,70.0,,0.0,0.0,1.0973,0.4473,0.996,0.4733,0.0553,0.3927,-0.054,-0.4388,-0.1096,-0.7141,0.0016,-0.379,0.2826,-0.0569,0.0155,0.3748,0.0,-0.3901,0.0879,-0.1338,0.1288,0.2888,0.601,0.4927
Saniyah King,saniyah-king-1,"pos    G
pos    G
Name: 13498, dtype: object",Mississippi State,Southeastern Conference,Interior Big,3.0,8.178866226765663,3.2453494634448066,2.4357732453531327,0.1261970272614592,1.130985136307296,0.428109796040891,-1.046477704460944,19.752669199504204,60.22,2,67.0,,1.499999999999986,-8.999999999999913,-0.354,0.6272,-0.2936,0.6427,-0.0244,0.5522,-0.092,0.8144,0.0804,1.1351,0.0284,1.1017,-0.0635,0.8224,-0.0039,0.7036,0.0,0.8973,0.0075,0.919,-0.0617,0.5719,-0.153,0.6725
Kaylee Thomas,kaylee-thomas-1,"pos    G
pos    G
Name: 1554, dtype: object",Merrimack,Northeast Conference,3-and-D Wing,0.0,11.949793663339875,1.3470232910184008,2.8781996829068937,0.1503805185064118,0.9335360085733508,0.5024155713433821,-2.978505705492438,22.865633505618614,48.75,3,69.0,,0.7000000000002234,5.0500000000013685,-0.0145,0.04,0.0085,0.0585,-0.0141,-0.1482,-0.4662,-0.3689,-0.0946,-0.2287,-0.0347,-0.1983,-0.1009,-0.0679,-0.0064,-0.2632,0.0,0.0511,-0.1048,-0.2545,-0.0138,-0.0218,-0.0581,-0.0343
Kenleigh Woods,kenleigh-woods-1,"pos    G
pos    G
Name: 1555, dtype: object",Eastern Kentucky,Atlantic Sun Conference,Floor General,2.0,10.6,2.7,2.4,0.1,1.0,0.547,0.4,16.5,52.53,1,66.0,,0.0,0.0,0.4642,0.6842,0.3916,0.6694,0.0063,0.4186,-0.1925,0.1565,0.023,0.3979,-0.0063,0.2848,0.1111,0.461,0.0023,0.4416,0.0,0.33,-0.0511,0.1809,0.046,0.5723,-0.1266,0.1439
