season_year,team_id,team,conference,win_pct,conf_opp_win_pct,overall_opp_win_pct,opp_win_pct
2018,fresno-state,Fresno State,Mountain West Conference,0.5312,0.4862,0.4998,0.4903
2018,new-mexico,New Mexico,Mountain West Conference,0.6944,0.4699,0.4998,0.4789
2018,nevada,Nevada,Mountain West Conference,0.5278,0.4865,0.4998,0.4905
2018,san-diego-state,San Diego State,Mountain West Conference,0.3667,0.5027,0.4998,0.5018
2018,utah-state,Utah State,Mountain West Conference,0.2333,0.516,0.4998,0.5111
2018,air-force,Air Force,Mountain West Conference,0.1935,0.52,0.4998,0.5139
2018,san-jose-state,San Jose State,Mountain West Conference,0.2333,0.516,0.4998,0.5111
2018,green-bay,Green Bay,Horizon League,0.8788,0.4712,0.4998,0.4798
2018,iupui,IU Indy,Horizon League,0.6875,0.4925,0.4998,0.4947
2018,wright-state,Wright State,Horizon League,0.6765,0.4937,0.4998,0.4956
2018,milwaukee,Milwaukee,Horizon League,0.6364,0.4982,0.4998,0.4987
2018,cleveland-state,Cleveland State,Horizon League,0.6333,0.4985,0.4998,0.4989
2018,youngstown-state,Youngstown State,Horizon League,0.5,0.5133,0.4998,0.5093
2018,oakland,Oakland,Horizon League,0.4839,0.5151,0.4998,0.5105
2018,northern-kentucky,Northern Kentucky,Horizon League,0.2903,0.5366,0.4998,0.5256
2018,detroit-mercy,Detroit Mercy,Horizon League,0.0667,0.5615,0.4998,0.543
2018,illinois-chicago,Illinois-Chicago,Horizon League,0.2667,0.5393,0.4998,0.5274
2018,maine,Maine,America East Conference,0.697,0.4679,0.4998,0.4775
2018,albany-ny,Albany (NY),America East Conference,0.75,0.4612,0.4998,0.4728
2018,binghamton,Binghamton,America East Conference,0.625,0.4769,0.4998,0.4838
2018,stony-brook,Stony Brook,America East Conference,0.6,0.48,0.4998,0.4859
2018,new-hampshire,New Hampshire,America East Conference,0.6129,0.4784,0.4998,0.4848
2018,hartford,Hartford,America East Conference,0.5938,0.4808,0.4998,0.4865
2018,vermont,Vermont,America East Conference,0.2667,0.5217,0.4998,0.5151
2018,maryland-baltimore-county,Maryland-Baltimore County,America East Conference,0.1613,0.5348,0.4998,0.5243
2018,massachusetts-lowell,Massachusetts-Lowell,America East Conference,0.1333,0.5383,0.4998,0.5268
2018,new-mexico-state,New Mexico State,Western Athletic Conference,0.5806,0.4107,0.4998,0.4374
2018,cal-state-bakersfield,Cal State Bakersfield,Western Athletic Conference,0.5625,0.4133,0.4998,0.4392
2018,seattle,Seattle,Western Athletic Conference,0.5455,0.4157,0.4998,0.4409
2018,grand-canyon,Grand Canyon,Western Athletic Conference,0.5333,0.4174,0.4998,0.4421
2018,missouri-kansas-city,Kansas City,Western Athletic Conference,0.3667,0.4412,0.4998,0.4588
2018,utah-valley,Utah Valley,Western Athletic Conference,0.3667,0.4412,0.4998,0.4588
2018,texas-pan-american,Texas-Rio Grande Valley,Western Athletic Conference,0.4667,0.4269,0.4998,0.4488
2018,chicago-state,Chicago State,Western Athletic Conference,0.0333,0.4888,0.4998,0.4921
2018,princeton,Princeton,Ivy League,0.8,0.51,0.4998,0.507
2018,pennsylvania,Pennsylvania,Ivy League,0.7097,0.523,0.4998,0.516
2018,harvard,Harvard,Ivy League,0.6207,0.5357,0.4998,0.5249
2018,yale,Yale,Ivy League,0.5938,0.5395,0.4998,0.5276
2018,dartmouth,Dartmouth,Ivy League,0.5556,0.545,0.4998,0.5314
2018,brown,Brown,Ivy League,0.5556,0.545,0.4998,0.5314
2018,cornell,Cornell,Ivy League,0.2593,0.5873,0.4998,0.5611
2018,columbia,Columbia,Ivy League,0.2759,0.5849,0.4998,0.5594
2018,mercer,Mercer,Southern Conference,0.9091,0.4484,0.4998,0.4638
2018,east-tennessee-state,East Tennessee State,Southern Conference,0.6061,0.4916,0.4998,0.4941
2018,chattanooga,Chattanooga,Southern Conference,0.5667,0.4973,0.4998,0.498
2018,furman,Furman,Southern Conference,0.5625,0.4979,0.4998,0.4985
2018,samford,Samford,Southern Conference,0.4839,0.5091,0.4998,0.5063
2018,north-carolina-greensboro,UNC Greensboro,Southern Conference,0.4194,0.5183,0.4998,0.5128
2018,wofford,Wofford,Southern Conference,0.3333,0.5306,0.4998,0.5214
2018,western-carolina,Western Carolina,Southern Conference,0.1667,0.5544,0.4998,0.538
2018,northern-colorado,Northern Colorado,Big Sky Conference,0.7879,0.4513,0.4998,0.4659
2018,idaho,Idaho,Big Sky Conference,0.5758,0.4706,0.4998,0.4794
2018,weber-state,Weber State,Big Sky Conference,0.6562,0.4633,0.4998,0.4743
2018,eastern-washington,Eastern Washington,Big Sky Conference,0.5484,0.4731,0.4998,0.4811
2018,idaho-state,Idaho State,Big Sky Conference,0.6562,0.4633,0.4998,0.4743
2018,portland-state,Portland State,Big Sky Conference,0.5938,0.469,0.4998,0.4782
2018,montana-state,Montana State,Big Sky Conference,0.5161,0.4761,0.4998,0.4832
2018,montana,Montana,Big Sky Conference,0.4516,0.4819,0.4998,0.4873
2018,north-dakota,North Dakota,Big Sky Conference,0.4,0.4866,0.4998,0.4906
2018,sacramento-state,Sacramento State,Big Sky Conference,0.2333,0.5018,0.4998,0.5012
2018,northern-arizona,Northern Arizona,Big Sky Conference,0.2333,0.5018,0.4998,0.5012
2018,southern-utah,Southern Utah,Big Sky Conference,0.1,0.5139,0.4998,0.5097
2018,bethune-cookman,Bethune-Cookman,Mid-Eastern Athletic Conference,0.7742,0.3924,0.4998,0.4246
2018,north-carolina-at,North Carolina A&T,Mid-Eastern Athletic Conference,0.7188,0.397,0.4998,0.4278
2018,hampton,Hampton,Mid-Eastern Athletic Conference,0.5625,0.41,0.4998,0.437
2018,norfolk-state,Norfolk State,Mid-Eastern Athletic Conference,0.6207,0.4052,0.4998,0.4336
2018,morgan-state,Morgan State,Mid-Eastern Athletic Conference,0.5161,0.4139,0.4998,0.4397
2018,howard,Howard,Mid-Eastern Athletic Conference,0.4,0.4235,0.4998,0.4464
2018,maryland-eastern-shore,Maryland-Eastern Shore,Mid-Eastern Athletic Conference,0.3667,0.4263,0.4998,0.4484
2018,north-carolina-central,North Carolina Central,Mid-Eastern Athletic Conference,0.3,0.4319,0.4998,0.4523
2018,south-carolina-state,South Carolina State,Mid-Eastern Athletic Conference,0.4,0.4235,0.4998,0.4464
2018,coppin-state,Coppin State,Mid-Eastern Athletic Conference,0.2069,0.4396,0.4998,0.4577
2018,delaware-state,Delaware State,Mid-Eastern Athletic Conference,0.2,0.4402,0.4998,0.4581
2018,florida-am,Florida A&M,Mid-Eastern Athletic Conference,0.25,0.436,0.4998,0.4552
2018,savannah-state,Savannah State,Mid-Eastern Athletic Conference,0.1667,0.443,0.4998,0.46
2018,arkansas-little-rock,Little Rock,Sun Belt Conference,0.697,0.444,0.4998,0.4607
2018,texas-state,Texas State,Sun Belt Conference,0.697,0.444,0.4998,0.4607
2018,texas-arlington,UT Arlington,Sun Belt Conference,0.6,0.4528,0.4998,0.4669
2018,troy,Troy,Sun Belt Conference,0.5806,0.4545,0.4998,0.4681
2018,south-alabama,South Alabama,Sun Belt Conference,0.6176,0.4512,0.4998,0.4658
