player_id,player,pos,n_seasons,most_recent_year,total_mp,mpg_latest,mpg,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,oreb_per_g,dreb_per_g,treb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,oreb_pct,dreb_pct,treb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm,wins,losses,trend_bpm,trend_pts_per_g,trend_ws_per_40,conference,team,team_id,adj_opp_win_pct,opp_win_pct,height_in,weight_lbs,cluster,pca1,pca2,archetype,archetype_score,rank_in_archetype,ast_tov_ratio,three_rate,inside_score,def_composite,is_multi_year,readiness_score
Maraja Pass,Maraja Pass,G,1,2025,482,21.7,21.7,1.4,4.2,0.333,0.2,1.0,0.241,1.2,3.2,0.361,0.361,1.3,1.7,0.765,0.7,1.7,2.3,2.8,1.2,0.1,1.9,2.2,4.3,8.8,0.458,0.67,0.33,1.7,6.6,0.04,0.1219999999999999,2.6,0.4,20.8,0.1669999999999999,0.2,0.6,0.8,0.064,-4.0,-0.2,-4.2,15.0,15.0,0.0,0.0,0.0,Coastal Athletic Association,Elon,elon,0.4947,0.4853,,,2,0.427312085,0.358613536,Primary Creator,-0.8323915732636545,991.0,1.4,0.2325581395348837,0.4332,1.9,0,34.37
Olivia Tucker,Olivia Tucker,G,1,2025,761,21.7,21.7,3.0,9.1,0.334,1.2,4.8,0.257,1.8,4.3,0.42,0.402,0.6,1.0,0.647,0.3,1.8,2.1,0.6,1.0,0.1,1.0,1.2,7.900000000000001,11.6,0.416,0.527,0.107,1.4,9.5,0.053,0.059,2.8,0.3,9.5,0.2409999999999999,0.4,1.3,1.7,0.09,-2.2,-0.3,-2.5,22.0,13.0,0.0,0.0,0.0,Coastal Athletic Association,Campbell,campbell,0.4916,0.4837,,,2,0.308968601,1.038994841,Primary Creator,-0.2772902015052325,737.0,0.5454545454545454,0.5217391304347826,0.756,2.4000000000000004,0,37.14
Lexi Alexander,Lexi Alexander,F,1,2025,654,21.7,21.7,2.9,6.8,0.431,0.0,0.0,0.0,2.9,6.699999999999999,0.433,0.431,0.9,1.4,0.667,1.9,4.1,5.999999999999999,0.7000000000000001,1.2,0.3999999999999999,1.3,2.5,6.8,12.3,0.496,0.645,0.093,1.4999999999999998,6.2,0.037,0.065,2.5,0.3999999999999999,10.5,0.154,1.0,1.3,2.3,0.143,0.5,1.0,1.4999999999999998,26.0,5.999999999999999,0.0,0.0,0.0,Southland Conference,Southeastern Louisiana,southeastern-louisiana,0.4489,0.4553,,,0,-0.43485142,-1.192609982,Support Player,1.1376369047467692,7.0,0.5,0.0,1.2557,2.9,0,44.53
Darian Burgin,Darian Burgin,G,1,2025,693,21.7,21.7,2.3,6.5,0.357,0.5,2.2,0.214,1.8,4.3,0.431,0.3940000000000001,1.5,2.2,0.686,0.6,1.8,2.3,1.1,1.2,0.1,1.8,1.9,6.6000000000000005,10.5,0.439,0.338,0.338,2.9000000000000004,9.2,0.06,0.1159999999999999,3.2,0.3,19.4,0.208,0.2,1.1,1.3,0.076,-3.4999999999999996,-0.5,-4.0,21.0,11.0,0.0,0.0,0.0,Southwest Athletic Conference,Alabama A&M,alabama-am,0.3973,0.4065,,,2,0.868764856,0.1379785,Primary Creator,-0.6493517190320761,919.0,0.5789473684210527,0.3333333333333333,0.7758,2.4000000000000004,0,34.97
Angela Dugalic,Angela Dugalic,F,1,2025,760,21.7,21.7,2.7,6.4,0.427,0.9000000000000001,2.6000000000000005,0.348,1.8000000000000005,3.8,0.481,0.498,1.0,1.2,0.814,0.9000000000000001,4.6,5.5,2.4,1.4,0.8,1.5,1.8000000000000005,7.4,21.9,0.528,0.409,0.191,5.200000000000001,21.3,0.139,0.178,3.7,3.7,17.8,0.186,2.0,2.3,4.3,0.226,4.5,7.5,12.0,34.0,3.0,0.0,0.0,0.0,Big Ten Conference,UCLA,ucla,0.6706,0.6343,,,3,1.43494055,-0.354594159,Interior Defender,0.7878838414449378,136.0,1.4999999999999998,0.4000000000000001,0.8658000000000001,4.5,0,64.33
Lanie Grant,Lanie Grant,G,1,2025,804,21.7,21.7,2.2,6.2,0.3639999999999999,1.2,3.4,0.346,1.1,2.7,0.386,0.461,1.6,2.0,0.808,0.2,1.6,1.8,1.1,0.4,0.1,1.3,1.3,7.3,12.0,0.512,0.557,0.32,0.8,7.9,0.044,0.0909999999999999,1.1,0.3,15.7,0.1889999999999999,1.3,1.3,2.6,0.129,2.1,3.2,5.4,29.0,8.0,0.0,0.0,0.0,Atlantic Coast Conference,North Carolina,north-carolina,0.6321,0.6046,,,1,0.224855282,1.292375209,Balanced Contributor,0.1073004477249767,554.0,0.7857142857142857,0.5396825396825397,0.4246000000000001,1.8,0,49.71
Marya Hudgins,Marya Hudgins,G,1,2025,709,21.7,21.7,1.6000000000000003,4.4,0.355,1.3000000000000005,3.4,0.375,0.3,1.0,0.286,0.5,0.1,0.3,0.5,0.7,5.3,6.0,0.7,1.0,0.9,0.7,2.3,4.6,6.0,0.4629999999999999,0.645,0.113,1.0,10.400000000000002,0.0579999999999999,0.1,1.0,0.9,23.9,0.118,0.0,0.3,0.3,0.019,-0.6,1.2,0.6,13.0,17.0,0.0,0.0,0.0,Big 12 Conference,Brigham Young,brigham-young,0.5588,0.5472,,,1,-0.044015712,0.795404904,Balanced Contributor,,,0.875,0.7555555555555555,0.0857999999999999,2.1999999999999997,0,35.75
Jordyn Lamker,Jordyn Lamker,F,1,2025,523,21.7,21.7,1.8000000000000005,3.2,0.558,0.4,1.0,0.387,1.4,2.1,0.641,0.621,0.3,0.4,0.615,0.6,2.6,3.2,1.4,0.4,0.6,1.0,2.0,4.2,7.8,0.458,0.519,0.222,2.2,10.6,0.064,0.083,3.7,0.8,22.5,0.108,0.1,0.5,0.6,0.047,-3.7999999999999994,1.3,-2.5,16.0,14.0,0.0,0.0,0.0,Summit League,St. Thomas,st-thomas-mn,0.4436,0.4566,,,1,-1.066554994,0.56275797,Balanced Contributor,-0.3294567746851821,759.0,1.2727272727272725,0.303030303030303,0.8974,1.5,0,34.06
Natalie Potts,Natalie Potts,F,1,2025,875,21.6,21.6,5.2,7.6,0.684,1.6,2.2,0.727,3.6,5.4,0.667,0.789,2.4,3.0,0.8,2.8,4.6,7.4,0.4,0.6,0.6,1.4,2.0,14.4,29.4,0.537,0.173,0.4,10.5,23.1,0.17,0.128,1.0,3.5,10.2,0.309,4.0,0.9,5.0,0.227,8.0,1.1,9.0,21.0,12.0,0.0,0.0,0.0,Big Ten Conference,Nebraska,nebraska,0.6159,0.5934,,,2,1.89452131,0.429789744,Primary Creator,,,0.2666666666666666,0.2857142857142857,2.4012,2.1,0,66.04
Bri McDaniel,Bri McDaniel,G,1,2025,923,21.6,21.6,4.1,8.1,0.507,0.6,2.0,0.294,3.5,6.1,0.577,0.543,1.8,2.1,0.857,0.6,1.4,2.1,2.4,1.1,0.1,1.8,2.3,10.6,21.4,0.573,0.232,0.394,1.9,11.9,0.071,0.255,1.6,0.7,21.0,0.243,3.3,0.7,4.0,0.173,5.9,1.9,7.8,25.0,8.0,0.0,0.0,0.0,Big Ten Conference,Maryland,maryland,0.6459,0.6144,,,2,1.637497882,0.542091452,Primary Creator,1.4392455629743068,72.0,1.263157894736842,0.2439024390243902,2.0195,1.9,0,59.98
