player,player_href,season_year,pos,g,mpg,pts_per_g,ast_per_g,trb_per_g,blk_per_g,stl_per_g,three_rate,inside_score,fta_per_g,fg3_pct,treb_pct,oreb_pct,blk_per_g,usg_pct,ast_pct,tov_per_g,pos_encoded,cluster,archetype,pca1,pca2
Candice Dupree,/wnba/players/d/dupreca01w.html,2019,F,34,30.7,11.6,2.5,5.0,0.6,0.4,0.0092,2.4225,1.6,0.0,0.094,0.027000000000000003,0.6,0.193,0.149,1.5,0.5,4,Interior Big,1.2870669912432182,-0.216025143230456
AD Durr,/wnba/players/d/durras01w.html,2019,G,18,26.7,9.7,1.7,1.6,0.4,0.6,0.3333,1.7174,1.2,0.294,0.034,0.012,0.4,0.166,0.113,1.2,0.0,3,Floor General,-1.4563610680561787,-0.0532847808774495
Temi Fagbenle,/wnba/players/f/fagbete01w.html,2019,C,18,15.1,5.4,0.8,2.9,0.3,0.3,0.0667,1.2581,1.0,0.167,0.11800000000000001,0.10099999999999999,0.3,0.2,0.092,1.8,1.0,2,Stretch Big,1.9263602936478201,-1.6118953845506732
Sylvia Fowles,/wnba/players/f/fowlesy01w.html,2019,C,34,29.5,13.6,1.5,8.9,1.4,0.9,0.0,3.4104,2.9,,0.185,0.114,1.4,0.2,0.091,2.0,1.0,0,Post Scorer,4.825004510597967,-0.5388622872517131
Allisha Gray,/wnba/players/g/grayal01w.html,2019,G,34,30.4,10.6,2.3,4.1,0.4,1.2,0.3333,1.235,3.3,0.384,0.081,0.049,0.4,0.158,0.141,1.4,0.0,3,Floor General,-0.5343477941098157,0.2416381110355295
Chelsea Gray,/wnba/players/g/graych01w.html,2019,G,34,32.6,14.5,5.9,3.8,0.1,1.0,0.2932,1.763,2.1,0.382,0.066,0.013999999999999999,0.1,0.23800000000000002,0.311,3.2,0.0,3,Floor General,-0.8071174866970398,3.183604138556923
Reshanda Gray,/wnba/players/g/grayre01w.html,2019,F,34,15.3,5.2,0.5,5.2,0.2,0.5,0.0227,0.9933,1.8,0.5,0.193,0.135,0.2,0.185,0.06,1.2,0.5,2,Stretch Big,2.0650443335779944,-1.9565209598968634
Brittney Griner,/wnba/players/g/grinebr01w.html,2019,C,31,32.8,20.7,2.4,7.2,2.0,0.7,0.0065,4.9155,4.0,0.333,0.126,0.06,2.0,0.284,0.179,2.5,1.0,0,Post Scorer,5.272575849755897,2.3405273733923804
Marie Gulich,/wnba/players/g/gulima01w.html,2019,C,31,11.3,3.3,0.6,2.7,0.8,0.2,0.2286,0.373,0.7,0.32,0.129,0.105,0.8,0.19,0.10300000000000001,1.0,1.0,2,Stretch Big,1.3951044444209801,-2.442868358914531
Dearica Hamby,/wnba/players/h/hambyde01w.html,2019,F,34,24.8,11.0,1.9,7.6,0.4,1.0,0.1882,1.89,3.0,0.321,0.166,0.10099999999999999,0.4,0.20199999999999999,0.134,1.8,0.5,0,Post Scorer,2.1475715974451117,-0.20905986913087035
Isabelle Harrison,/wnba/players/h/harriis01w.html,2019,F,31,25.6,8.6,1.4,5.8,0.8,1.1,0.0256,1.638,2.2,0.0,0.135,0.102,0.8,0.185,0.10400000000000001,1.5,0.5,4,Interior Big,2.4615727107971117,-1.3002111960828782
Bria Hartley,/wnba/players/h/hartlbr01w.html,2019,G,24,22.7,9.8,3.2,3.2,0.0,0.8,0.3409,0.9223,2.8,0.329,0.08,0.037000000000000005,0.0,0.23199999999999998,0.243,2.1,0.0,3,Floor General,-0.9036677124814443,1.7202548185392605
Tianna Hawkins,/wnba/players/h/hawkiti01w.html,2019,F,31,15.4,9.5,0.7,4.2,0.1,0.5,0.4085,1.612,1.3,0.363,0.165,0.122,0.1,0.261,0.083,1.1,0.5,2,Stretch Big,1.421347030488518,-1.01419331665895
Tiffany Hayes,/wnba/players/h/hayesti01w.html,2019,G,29,28.2,14.7,2.8,3.0,0.3,1.0,0.3101,1.6416,4.4,0.308,0.057,0.027000000000000003,0.3,0.271,0.21899999999999997,2.4,0.0,3,Floor General,-0.06487243805967169,2.9146433687269084
Natisha Hiedeman,/wnba/players/h/hiedena01w.html,2019,G,20,10.3,3.7,1.9,1.5,0.1,0.4,0.4828,0.2202,1.2,0.464,0.084,0.037000000000000005,0.1,0.172,0.292,0.7,0.0,3,Floor General,-2.35975556551272,0.003899185294002387
Bria Holmes,/wnba/players/h/holmebr01w.html,2019,G,34,15.6,6.3,0.9,1.4,0.2,0.5,0.3333,0.7446,1.7,0.317,0.053,0.021,0.2,0.204,0.09699999999999999,0.9,0.0,3,Floor General,-1.5630966288918438,-0.2684041881893864
